epoch	seed	train	shuffle	accuracy	loss
1	10	True	False	85.628	0.02803756121143699
1	10	False	False	10.0	0.2070548736318946
2	10	True	False	81.68	0.026427149031609296
2	10	False	False	10.0	0.20097469370514154
3	10	True	False	81.68	0.026225016221106054
3	10	False	False	10.0	0.19873998127430678
4	10	True	False	81.552	0.026128724949210883
4	10	False	False	10.0	0.19835535020828246
5	10	True	False	81.424	0.026110236986130474
5	10	False	False	10.0	0.19830398073196412
6	10	True	False	81.424	0.02610622972726822
6	10	False	False	10.0	0.1983169355392456
7	10	True	False	81.424	0.02610554798170924
7	10	False	False	10.0	0.19833677368164063
8	10	True	False	81.424	0.02610549770846963
8	10	False	False	10.0	0.19835204935073852
9	10	True	False	81.424	0.026105805991292
9	10	False	False	10.0	0.19836240224838256
10	10	True	False	81.424	0.026105978469997643
10	10	False	False	10.0	0.19836892404556275
11	10	True	False	81.424	0.02610615411877632
11	10	False	False	10.0	0.19837169246673583
12	10	True	False	81.424	0.026106223412454128
12	10	False	False	10.0	0.19837261924743652
13	10	True	False	81.424	0.02610628618568182
13	10	False	False	10.0	0.19837300844192504
14	10	True	False	81.424	0.02610630999326706
14	10	False	False	10.0	0.1983730549812317
15	10	True	False	81.424	0.026106316409111024
15	10	False	False	10.0	0.19837287578582763
16	10	True	False	81.424	0.02610631087064743
16	10	False	False	10.0	0.19837288122177124
17	10	True	False	81.424	0.026106313267946244
17	10	False	False	10.0	0.19837283849716186
18	10	True	False	81.424	0.026106309241056443
18	10	False	False	10.0	0.19837282638549805
19	10	True	False	81.424	0.026106307574510573
19	10	False	False	10.0	0.19837280406951904
20	10	True	False	81.424	0.026106308472156524
20	10	False	False	10.0	0.19837280254364015
21	10	True	False	81.424	0.026106307582855225
21	10	False	False	10.0	0.19837279539108277
22	10	True	False	81.424	0.026106308109760286
22	10	False	False	10.0	0.19837279539108277
23	10	True	False	81.424	0.026106307830810548
23	10	False	False	10.0	0.19837279539108277
24	10	True	False	81.424	0.026106308497190474
24	10	False	False	10.0	0.19837279539108277
25	10	True	False	81.424	0.026106307830810548
25	10	False	False	10.0	0.19837279539108277
26	10	True	False	81.424	0.026106308497190474
26	10	False	False	10.0	0.19837279539108277
27	10	True	False	81.424	0.026106307830810548
27	10	False	False	10.0	0.19837279539108277
28	10	True	False	81.424	0.026106308497190474
28	10	False	False	10.0	0.19837279539108277
29	10	True	False	81.424	0.026106307830810548
29	10	False	False	10.0	0.19837279539108277
30	10	True	False	81.424	0.026106308497190474
30	10	False	False	10.0	0.19837279539108277
31	10	True	False	81.424	0.026106307830810548
31	10	False	False	10.0	0.19837279539108277
32	10	True	False	81.424	0.026106308497190474
32	10	False	False	10.0	0.19837279539108277
33	10	True	False	81.424	0.026106307830810548
33	10	False	False	10.0	0.19837279539108277
34	10	True	False	81.424	0.026106308497190474
34	10	False	False	10.0	0.19837279539108277
35	10	True	False	81.424	0.026106307830810548
35	10	False	False	10.0	0.19837279539108277
36	10	True	False	81.424	0.026106308497190474
36	10	False	False	10.0	0.19837279539108277
37	10	True	False	81.424	0.026106307830810548
37	10	False	False	10.0	0.19837279539108277
38	10	True	False	81.424	0.026106308497190474
38	10	False	False	10.0	0.19837279539108277
39	10	True	False	81.424	0.026106307830810548
39	10	False	False	10.0	0.19837279539108277
40	10	True	False	81.424	0.026106308497190474
40	10	False	False	10.0	0.19837279539108277
41	10	True	False	81.424	0.026106307830810548
41	10	False	False	10.0	0.19837279539108277
42	10	True	False	81.424	0.026106308497190474
42	10	False	False	10.0	0.19837279539108277
43	10	True	False	81.424	0.026106307830810548
43	10	False	False	10.0	0.19837279539108277
44	10	True	False	81.424	0.026106308497190474
44	10	False	False	10.0	0.19837279539108277
45	10	True	False	81.424	0.026106307830810548
45	10	False	False	10.0	0.19837279539108277
46	10	True	False	81.424	0.026106308497190474
46	10	False	False	10.0	0.19837279539108277
47	10	True	False	81.424	0.026106307830810548
47	10	False	False	10.0	0.19837279539108277
48	10	True	False	81.424	0.026106308497190474
48	10	False	False	10.0	0.19837279539108277
49	10	True	False	81.424	0.026106307830810548
49	10	False	False	10.0	0.19837279539108277
50	10	True	False	81.424	0.026106308497190474
50	10	False	False	10.0	0.19837279539108277
51	10	True	False	81.424	0.026106307830810548
51	10	False	False	10.0	0.19837279539108277
52	10	True	False	81.424	0.026106308497190474
52	10	False	False	10.0	0.19837279539108277
53	10	True	False	81.424	0.026106307830810548
53	10	False	False	10.0	0.19837279539108277
54	10	True	False	81.424	0.026106308497190474
54	10	False	False	10.0	0.19837279539108277
55	10	True	False	81.424	0.026106307830810548
55	10	False	False	10.0	0.19837279539108277
56	10	True	False	81.424	0.026106308497190474
56	10	False	False	10.0	0.19837279539108277
57	10	True	False	81.424	0.026106307830810548
57	10	False	False	10.0	0.19837279539108277
58	10	True	False	81.424	0.026106308497190474
58	10	False	False	10.0	0.19837279539108277
59	10	True	False	81.424	0.026106307830810548
59	10	False	False	10.0	0.19837279539108277
60	10	True	False	81.424	0.026106308497190474
60	10	False	False	10.0	0.19837279539108277
61	10	True	False	81.424	0.026106307830810548
61	10	False	False	10.0	0.19837279539108277
62	10	True	False	81.424	0.026106308497190474
62	10	False	False	10.0	0.19837279539108277
63	10	True	False	81.424	0.026106307830810548
63	10	False	False	10.0	0.19837279539108277
64	10	True	False	81.424	0.026106308497190474
64	10	False	False	10.0	0.19837279539108277
65	10	True	False	81.424	0.026106307830810548
65	10	False	False	10.0	0.19837279539108277
66	10	True	False	81.424	0.026106308497190474
66	10	False	False	10.0	0.19837279539108277
67	10	True	False	81.424	0.026106307830810548
