epoch	seed	train	strategy	accuracy	loss
1	10	True	max_k_loss	35.772	0.018140282044410705
1	10	False	max_k_loss	22.23	0.02459736204147339
2	10	True	max_k_loss	27.5	0.020057151965498923
2	10	False	max_k_loss	17.27	0.023509782576560972
3	10	True	max_k_loss	27.524	0.019684659338593483
3	10	False	max_k_loss	26.27	0.021027196407318115
4	10	True	max_k_loss	22.718	0.021118483998775483
4	10	False	max_k_loss	27.46	0.020301056861877442
5	10	True	max_k_loss	22.942	0.02054584104537964
5	10	False	max_k_loss	28.61	0.019590047013759614
6	10	True	max_k_loss	24.434	0.020506665983200074
6	10	False	max_k_loss	39.57	0.019707226896286012
7	10	True	max_k_loss	22.42	0.020935864422917366
7	10	False	max_k_loss	33.81	0.019436232018470764
8	10	True	max_k_loss	27.156	0.019293560523986817
8	10	False	max_k_loss	38.14	0.017308702754974366
9	10	True	max_k_loss	25.502	0.01929108876943588
9	10	False	max_k_loss	41.82	0.015865673553943634
10	10	True	max_k_loss	29.966	0.017576438331604004
10	10	False	max_k_loss	46.16	0.014761294913291931
11	10	True	max_k_loss	28.278	0.017561292922496797
11	10	False	max_k_loss	44.67	0.014177030456066131
12	10	True	max_k_loss	35.75	0.015298932137489318
12	10	False	max_k_loss	47.74	0.014842019188404084
13	10	True	max_k_loss	41.452	0.014127056872844697
13	10	False	max_k_loss	53.32	0.012240714985132217
14	10	True	max_k_loss	41.714	0.013990698062181473
14	10	False	max_k_loss	61.05	0.01081016704440117
15	10	True	max_k_loss	45.29	0.012239606250524521
15	10	False	max_k_loss	58.35	0.011920642524957658
16	10	True	max_k_loss	58.49	0.009853309551477432
16	10	False	max_k_loss	65.38	0.010801999741792679
17	10	True	max_k_loss	59.418	0.00944963015317917
17	10	False	max_k_loss	61.14	0.01238187564611435
18	10	True	max_k_loss	69.662	0.008044947317242623
18	10	False	max_k_loss	71.22	0.009638640898466111
19	10	True	max_k_loss	76.22	0.006321634630560875
19	10	False	max_k_loss	69.8	0.012187647372484208
20	10	True	max_k_loss	83.68	0.004731329795122146
20	10	False	max_k_loss	74.78	0.01086099236011505
21	10	True	max_k_loss	88.106	0.0036701045805215835
21	10	False	max_k_loss	76.95	0.010107852125167847
22	10	True	max_k_loss	91.424	0.002730349113345146
22	10	False	max_k_loss	76.88	0.011299475717544555
23	10	True	max_k_loss	95.01	0.0017000573483668267
23	10	False	max_k_loss	77.06	0.01142022983431816
24	10	True	max_k_loss	96.546	0.0012000080932117998
24	10	False	max_k_loss	76.87	0.01196744619011879
25	10	True	max_k_loss	95.862	0.0015674611161835491
25	10	False	max_k_loss	76.85	0.012260180479288101
26	10	True	max_k_loss	96.854	0.0011320995213277639
26	10	False	max_k_loss	74.89	0.013968627053499221
27	10	True	max_k_loss	96.816	0.001141385802589357
27	10	False	max_k_loss	77.07	0.012918893140554428
28	10	True	max_k_loss	98.132	0.0007068417890183627
28	10	False	max_k_loss	76.78	0.013570533734560013
29	10	True	max_k_loss	98.416	0.0006082413480337709
29	10	False	max_k_loss	77.26	0.013884686586260795
30	10	True	max_k_loss	98.894	0.0004622033757995814
30	10	False	max_k_loss	76.2	0.015649381244182588
31	10	True	max_k_loss	98.614	0.0005508908062474802
31	10	False	max_k_loss	75.25	0.014903385883569717
32	10	True	max_k_loss	97.598	0.0009337919035926461
32	10	False	max_k_loss	76.61	0.013893570464849472
33	10	True	max_k_loss	97.768	0.000856590948048979
33	10	False	max_k_loss	76.26	0.01443776549398899
34	10	True	max_k_loss	97.284	0.0010535533126443625
34	10	False	max_k_loss	77.27	0.01274002849459648
35	10	True	max_k_loss	97.81	0.0008253513924218715
35	10	False	max_k_loss	77.07	0.013087512308359146
36	10	True	max_k_loss	98.262	0.0006581307492777705
36	10	False	max_k_loss	75.84	0.013627421554923058
37	10	True	max_k_loss	98.556	0.0005347353789070621
37	10	False	max_k_loss	78.67	0.012531010913848877
38	10	True	max_k_loss	98.424	0.0005882755543384701
38	10	False	max_k_loss	77.72	0.014200118693709374
39	10	True	max_k_loss	98.522	0.0005726253893086686
39	10	False	max_k_loss	77.73	0.012600712376832962
40	10	True	max_k_loss	98.596	0.0005253609058866278
40	10	False	max_k_loss	77.98	0.012964564791321754
41	10	True	max_k_loss	98.458	0.0005824516380159184
41	10	False	max_k_loss	76.95	0.01314527637064457
42	10	True	max_k_loss	98.464	0.0005732770213158801
42	10	False	max_k_loss	77.54	0.013265576392412185
43	10	True	max_k_loss	98.672	0.000521155323535204
43	10	False	max_k_loss	77.82	0.01260500014424324
44	10	True	max_k_loss	98.082	0.000765672156107612
44	10	False	max_k_loss	77.41	0.012417092850804329
45	10	True	max_k_loss	98.216	0.0006844795479811728
45	10	False	max_k_loss	76.16	0.013584505516290665
46	10	True	max_k_loss	98.762	0.0005031677719065919
46	10	False	max_k_loss	77.15	0.012862699013948441
47	10	True	max_k_loss	97.578	0.0009607834558933974
47	10	False	max_k_loss	77.67	0.012093877524137497
48	10	True	max_k_loss	98.438	0.000581371939550154
