epoch	seed	train	strategy	accuracy	loss
1	10	True	freeze	30.204	0.029692338154315948
1	10	False	freeze	42.21	0.024461873602867126
2	10	True	freeze	47.316	0.02238742724657059
2	10	False	freeze	52.9	0.020776113623380662
3	10	True	freeze	61.366	0.017014081933498383
3	10	False	freeze	65.14	0.015606401515007019
4	10	True	freeze	69.734	0.01350086381494999
4	10	False	freeze	67.73	0.014573933202028275
5	10	True	freeze	74.864	0.011321216298937798
5	10	False	freeze	70.07	0.014194563740491868
6	10	True	freeze	77.94	0.009905257351994514
6	10	False	freeze	72.27	0.012657129475474357
7	10	True	freeze	79.972	0.009051338412165641
7	10	False	freeze	67.91	0.015635738891363143
8	10	True	freeze	81.492	0.008386604574620723
8	10	False	freeze	72.34	0.014604163283109664
9	10	True	freeze	82.558	0.007950280590653419
9	10	False	freeze	71.26	0.014269559264183045
10	10	True	freeze	83.42	0.007569606775641441
10	10	False	freeze	69.65	0.01569017144739628
11	10	True	freeze	83.888	0.007241820123493671
11	10	False	freeze	72.6	0.013314249047636987
12	10	True	freeze	84.354	0.007075244966745377
12	10	False	freeze	71.43	0.016285756075382234
13	10	True	freeze	85.02	0.00677339102730155
13	10	False	freeze	73.98	0.013299328595399857
14	10	True	freeze	85.22	0.006721600411236286
14	10	False	freeze	73.35	0.013625997588038445
15	10	True	freeze	85.578	0.006565450456738472
15	10	False	freeze	70.72	0.015370615786314011
16	10	True	freeze	85.934	0.006403779237270355
16	10	False	freeze	73.95	0.013360891702771186
17	10	True	freeze	85.74	0.006394058368206024
17	10	False	freeze	71.44	0.01627599486708641
18	10	True	freeze	86.058	0.006271751120090484
18	10	False	freeze	72.77	0.014574762803316117
19	10	True	freeze	86.088	0.006225163298547268
19	10	False	freeze	69.53	0.017231377959251403
20	10	True	freeze	86.25	0.006209687421321869
20	10	False	freeze	70.68	0.0150827496945858
21	10	True	freeze	86.476	0.006172689362764359
21	10	False	freeze	66.13	0.01834256551861763
22	10	True	freeze	86.622	0.006107086266875267
22	10	False	freeze	71.91	0.015204335784912109
23	10	True	freeze	86.536	0.006100842140614986
23	10	False	freeze	72.08	0.015062814664840699
24	10	True	freeze	86.696	0.006034078485369682
24	10	False	freeze	71.02	0.015510186690092086
25	10	True	freeze	86.698	0.006009714475423098
25	10	False	freeze	72.14	0.015408035317063331
26	10	True	freeze	86.884	0.005926886304318905
26	10	False	freeze	72.19	0.015369890612363815
27	10	True	freeze	86.724	0.006052755582779646
27	10	False	freeze	70.88	0.01598674483895302
28	10	True	freeze	86.944	0.005896685008406639
28	10	False	freeze	74.91	0.01298186618089676
29	10	True	freeze	87.3	0.005758911521434784
29	10	False	freeze	71.69	0.0159367236495018
30	10	True	freeze	87.142	0.00582800046145916
30	10	False	freeze	73.05	0.014968040305376053
31	10	True	freeze	87.068	0.005851459246426821
31	10	False	freeze	73.64	0.014507455003261565
32	10	True	freeze	87.322	0.005791845146417618
32	10	False	freeze	75.91	0.012763470539450645
33	10	True	freeze	87.198	0.005796267264485359
33	10	False	freeze	72.03	0.015677546268701555
34	10	True	freeze	87.368	0.0057811783161759375
34	10	False	freeze	68.99	0.018415261447429658
35	10	True	freeze	87.19	0.005767209947407245
35	10	False	freeze	71.32	0.01664287619292736
36	10	True	freeze	87.366	0.005710686864852905
36	10	False	freeze	76.89	0.012585036206245423
37	10	True	freeze	87.21	0.005796970851421356
37	10	False	freeze	75.52	0.01232195330262184
38	10	True	freeze	87.38	0.005752010205090046
38	10	False	freeze	73.05	0.014851670387387276
39	10	True	freeze	87.486	0.005679982480406761
39	10	False	freeze	77.3	0.011177463662624358
40	10	True	freeze	87.584	0.005670607302188873
40	10	False	freeze	75.95	0.013226545634865762
41	10	True	freeze	87.63	0.005629230146110058
41	10	False	freeze	70.44	0.01709408990740776
42	10	True	freeze	87.522	0.005675102467536926
42	10	False	freeze	71.39	0.01587914285361767
43	10	True	freeze	87.512	0.005625028783529997
43	10	False	freeze	72.99	0.014864347195625306
44	10	True	freeze	87.402	0.005760936086773872
44	10	False	freeze	70.13	0.017455441382527352
45	10	True	freeze	87.518	0.005611451109498739
45	10	False	freeze	73.62	0.013970648330450058
46	10	True	freeze	87.528	0.005660129253715277
46	10	False	freeze	74.56	0.014025326266884804
47	10	True	freeze	87.658	0.005564305416196584
47	10	False	freeze	74.02	0.013680807679891587
48	10	True	freeze	87.52	0.0056262954986095425
48	10	False	freeze	72.26	0.01559948754310608
49	10	True	freeze	87.472	0.005676111798882485
49	10	False	freeze	74.43	0.013900519490242005
50	10	True	freeze	95.092	0.002331306262165308
50	10	False	freeze	86.66	0.0069487875647842885
51	10	True	freeze	99.246	0.0005720624152943492
51	10	False	freeze	86.43	0.007453056135773658
52	10	True	freeze	99.926	0.0001753636557981372
52	10	False	freeze	86.55	0.007735017513483763
53	10	True	freeze	99.976	9.721430309116841e-05
53	10	False	freeze	86.53	0.007825561031699181
54	10	True	freeze	99.994	7.081515729427338e-05
54	10	False	freeze	86.53	0.007839665044099093
55	10	True	freeze	100.0	5.933223769068718e-05
55	10	False	freeze	86.43	0.007811712441593409
56	10	True	freeze	100.0	5.3526280894875524e-05
56	10	False	freeze	86.43	0.007766121125221253
57	10	True	freeze	100.0	5.00454293936491e-05
57	10	False	freeze	86.46	0.0077130220718681815
58	10	True	freeze	100.0	4.768056079745293e-05
58	10	False	freeze	86.52	0.007658551881462336
59	10	True	freeze	100.0	4.589794844388962e-05
59	10	False	freeze	86.53	0.0076045297853648665
60	10	True	freeze	100.0	4.44378051161766e-05
60	10	False	freeze	86.58	0.0075529411226511
61	10	True	freeze	100.0	4.315426841378212e-05
61	10	False	freeze	86.63	0.007504778754711151
62	10	True	freeze	100.0	4.19691951572895e-05
62	10	False	freeze	86.64	0.007459455519914627
63	10	True	freeze	100.0	4.084364205598831e-05
63	10	False	freeze	86.69	0.0074175469629466535
64	10	True	freeze	100.0	3.9761727601289746e-05
64	10	False	freeze	86.68	0.007378691901266575
65	10	True	freeze	100.0	3.871194824576378e-05
65	10	False	freeze	86.76	0.007343295034766197
66	10	True	freeze	100.0	3.770412653684616e-05
66	10	False	freeze	86.79	0.0073093478433787825
67	10	True	freeze	100.0	3.6734470427036285e-05
67	10	False	freeze	86.76	0.007277604740858078
68	10	True	freeze	100.0	3.580848157405853e-05
68	10	False	freeze	86.8	0.007247569608688355
