	epoch	seed	train	strategy	accuracy	loss
0	1	10	True	freeze	0.34402	2.5608761319732665
1	1	10	False	freeze	0.3536	2.5539503232955933
2	2	10	True	freeze	0.34758	2.5342784497833253
3	2	10	False	freeze	0.3512	2.5782545440673834
4	3	10	True	freeze	0.35631999999999997	2.5059829801177984
5	3	10	False	freeze	0.3442	2.6070783727645868
6	4	10	True	freeze	0.36086	2.4801259951019285
7	4	10	False	freeze	0.3636	2.5469018529891967
8	5	10	True	freeze	0.36564	2.4472792167282105
9	5	10	False	freeze	0.3604	2.5360721250534057
10	6	10	True	freeze	0.37332	2.4246707962417604
11	6	10	False	freeze	0.3499	2.596426682472229
12	7	10	True	freeze	0.37448000000000004	2.4134651358032233
13	7	10	False	freeze	0.3604	2.543127355766297
14	8	10	True	freeze	0.38126	2.374854524497986
15	8	10	False	freeze	0.3637	2.5390101020812987
16	9	10	True	freeze	0.38261999999999996	2.367803049468994
17	9	10	False	freeze	0.3623	2.545708539009094
18	10	10	True	freeze	0.38411999999999996	2.356140049037933
19	10	10	False	freeze	0.3531	2.6006084369659423
20	11	10	True	freeze	0.38928	2.3405646228027344
21	11	10	False	freeze	0.3719	2.5131161117553718
22	12	10	True	freeze	0.39376	2.3170135528945917
23	12	10	False	freeze	0.3682	2.5407443399429317
24	13	10	True	freeze	0.39308000000000004	2.3083363273620607
25	13	10	False	freeze	0.3743	2.506718383407593
26	14	10	True	freeze	0.3957	2.307418003005981
27	14	10	False	freeze	0.3731	2.5127602579116823
28	15	10	True	freeze	0.40152	2.2641262132263185
29	15	10	False	freeze	0.3822	2.4805274927139283
30	16	10	True	freeze	0.40454	2.2617745071220403
31	16	10	False	freeze	0.3735	2.5136525568008423
32	17	10	True	freeze	0.40936	2.24684110452652
33	17	10	False	freeze	0.3698	2.5320948417663574
34	18	10	True	freeze	0.40972	2.2482284214401247
35	18	10	False	freeze	0.3779	2.502240835571289
36	19	10	True	freeze	0.41541999999999996	2.21542872133255
37	19	10	False	freeze	0.3835	2.474937278938293
38	20	10	True	freeze	0.41486000000000006	2.2155133843421937
39	20	10	False	freeze	0.3773	2.500268020248413
40	21	10	True	freeze	0.41722	2.207069383945465
41	21	10	False	freeze	0.382	2.4897942180633543
42	22	10	True	freeze	0.41988000000000003	2.1922944898414607
43	22	10	False	freeze	0.3806	2.4717417432785034
44	23	10	True	freeze	0.42132	2.1905283726882936
45	23	10	False	freeze	0.3778	2.5258548852920533
46	24	10	True	freeze	0.4197	2.1865200612068176
47	24	10	False	freeze	0.3845	2.511107632255554
48	25	10	True	freeze	0.42056000000000004	2.1792437577819825
49	25	10	False	freeze	0.3712	2.544153412055969
50	26	10	True	freeze	0.4269	2.165079851741791
51	26	10	False	freeze	0.3855	2.468428121376037
52	27	10	True	freeze	0.4272	2.1636458069992064
53	27	10	False	freeze	0.3744	2.5442934898376466
54	28	10	True	freeze	0.42812	2.153903646411896
55	28	10	False	freeze	0.3719	2.5675459674835204
56	29	10	True	freeze	0.43228	2.138877837123871
57	29	10	False	freeze	0.3756	2.548442810440064
