epoch	seed	train	strategy	accuracy	loss
1	10	True	max_k_loss	23.294	0.02410014753818512
1	10	False	max_k_loss	22.79	0.024470453429222105
2	10	True	max_k_loss	20.102	0.02362768576145172
2	10	False	max_k_loss	19.37	0.02367059283256531
3	10	True	max_k_loss	24.938	0.023250783429145813
3	10	False	max_k_loss	24.87	0.023185229563713074
4	10	True	max_k_loss	19.724	0.0225798384141922
4	10	False	max_k_loss	19.91	0.02258022367954254
5	10	True	max_k_loss	29.6	0.021554792304039002
5	10	False	max_k_loss	30.29	0.021341639649868013
6	10	True	max_k_loss	23.654	0.022083987841606142
6	10	False	max_k_loss	23.39	0.02189438292980194
7	10	True	max_k_loss	27.702	0.020967169756889344
7	10	False	max_k_loss	28.69	0.020719646632671358
8	10	True	max_k_loss	33.008	0.020032659289836885
8	10	False	max_k_loss	33.4	0.01977638683319092
9	10	True	max_k_loss	33.068	0.019659523406028747
9	10	False	max_k_loss	31.6	0.019646710920333862
10	10	True	max_k_loss	34.666	0.019755482733249664
10	10	False	max_k_loss	35.1	0.019541137290000916
11	10	True	max_k_loss	40.648	0.01743832211494446
11	10	False	max_k_loss	38.7	0.017346878898143767
12	10	True	max_k_loss	37.026	0.018121730108261108
12	10	False	max_k_loss	36.17	0.018433152198791505
13	10	True	max_k_loss	43.222	0.01626709804058075
13	10	False	max_k_loss	41.35	0.01618575644493103
14	10	True	max_k_loss	43.896	0.01658336088895798
14	10	False	max_k_loss	45.31	0.016345230388641357
15	10	True	max_k_loss	39.212	0.016017279539108278
15	10	False	max_k_loss	36.62	0.01647269698381424
16	10	True	max_k_loss	51.06	0.013922283847332
16	10	False	max_k_loss	50.11	0.014202039813995362
17	10	True	max_k_loss	61.982	0.010899850183725357
17	10	False	max_k_loss	58.32	0.012133742135763168
18	10	True	max_k_loss	61.03	0.011281840229034425
18	10	False	max_k_loss	56.08	0.013528822672367095
19	10	True	max_k_loss	66.462	0.009719759014844894
19	10	False	max_k_loss	61.03	0.01202232934832573
20	10	True	max_k_loss	59.15	0.01177177225112915
20	10	False	max_k_loss	54.25	0.015740060484409332
21	10	True	max_k_loss	78.506	0.005869142923951149
21	10	False	max_k_loss	66.9	0.01074982453584671
22	10	True	max_k_loss	77.848	0.006423328707814217
22	10	False	max_k_loss	65.31	0.012274928176403046
23	10	True	max_k_loss	87.362	0.0036067207622528076
23	10	False	max_k_loss	72.42	0.0102424347281456
24	10	True	max_k_loss	89.462	0.0031561838568747043
24	10	False	max_k_loss	71.47	0.01140783575773239
25	10	True	max_k_loss	93.3	0.0019322070101648568
25	10	False	max_k_loss	74.1	0.010568078541755677
26	10	True	max_k_loss	95.976	0.0011780695678293705
26	10	False	max_k_loss	76.53	0.01057999891936779
27	10	True	max_k_loss	97.588	0.0007168599352426827
27	10	False	max_k_loss	77.41	0.009907774060964585
28	10	True	max_k_loss	97.392	0.0007705023087933659
28	10	False	max_k_loss	77.55	0.010754984918236732
29	10	True	max_k_loss	96.778	0.0008988753250613809
29	10	False	max_k_loss	76.21	0.011573266935348511
30	10	True	max_k_loss	98.158	0.0005430838862247765
30	10	False	max_k_loss	77.47	0.011552750796079635
31	10	True	max_k_loss	97.322	0.0007631348005495965
31	10	False	max_k_loss	74.98	0.012665747445821761
32	10	True	max_k_loss	98.074	0.0005594534821901471
32	10	False	max_k_loss	76.47	0.012393351742625236
33	10	True	max_k_loss	95.468	0.0013332710426859557
33	10	False	max_k_loss	72.82	0.014951543492078782
34	10	True	max_k_loss	93.526	0.002140019318405539
34	10	False	max_k_loss	72.27	0.015827047610282897
35	10	True	max_k_loss	96.448	0.0010667463102191686
35	10	False	max_k_loss	75.46	0.01246496044397354
36	10	True	max_k_loss	96.842	0.0009061103999242186
36	10	False	max_k_loss	74.81	0.012325005841255189
37	10	True	max_k_loss	98.7	0.0004026921265013516
37	10	False	max_k_loss	77.24	0.011120257058739662
