epoch	seed	train	shuffle	accuracy	loss
1	10	True	False	30.204	0.029692338154315948
1	10	False	False	42.21	0.024461873602867126
2	10	True	False	47.41	0.022342565851211547
2	10	False	False	54.88	0.020094860738515855
3	10	True	False	61.142	0.017034988161325454
3	10	False	False	62.8	0.016805401432514192
4	10	True	False	70.042	0.013407085995078087
4	10	False	False	68.6	0.01476631572842598
5	10	True	False	74.12	0.011554079818725586
5	10	False	False	74.18	0.012024174857139587
6	10	True	False	76.756	0.01062600705742836
6	10	False	False	74.61	0.01152834786772728
7	10	True	False	77.754	0.010064251927733421
7	10	False	False	72.79	0.012143105289340018
8	10	True	False	78.948	0.009602374470829964
8	10	False	False	76.24	0.01110991195142269
9	10	True	False	79.718	0.009274053207933904
9	10	False	False	77.29	0.010457059425115585
10	10	True	False	80.064	0.009058596170544624
10	10	False	False	77.69	0.010275803697109223
11	10	True	False	80.57	0.008879005333185195
11	10	False	False	78.94	0.009682718071341514
12	10	True	False	81.12	0.00865512985765934
12	10	False	False	78.62	0.009736444793641568
13	10	True	False	81.496	0.008466137892305851
13	10	False	False	79.96	0.009125476744771004
14	10	True	False	81.728	0.008401474648714066
14	10	False	False	77.61	0.01084034027159214
15	10	True	False	81.966	0.008231727194488048
15	10	False	False	76.48	0.010767197471857072
16	10	True	False	81.996	0.008248580079972744
16	10	False	False	74.55	0.012346262255311012
17	10	True	False	82.008	0.008166949205994607
17	10	False	False	75.31	0.011837716326117515
18	10	True	False	82.312	0.008012644452750683
18	10	False	False	79.43	0.009431389231979847
19	10	True	False	82.478	0.008042099684476852
19	10	False	False	81.49	0.008688112139701843
20	10	True	False	82.648	0.007905381487607955
20	10	False	False	74.41	0.011649387937784195
21	10	True	False	82.998	0.007841065433621407
21	10	False	False	81.9	0.00844471780359745
22	10	True	False	82.914	0.007782649247646331
22	10	False	False	80.42	0.009196159863471986
23	10	True	False	83.15	0.007717507905066014
23	10	False	False	78.94	0.00978162012398243
24	10	True	False	82.866	0.007797219209074974
24	10	False	False	77.18	0.010648306295275687
25	10	True	False	83.426	0.007612010829150677
25	10	False	False	79.8	0.009620848512649537
26	10	True	False	83.334	0.007658022840619087
26	10	False	False	81.34	0.00856727421283722
27	10	True	False	83.298	0.007612767497301102
27	10	False	False	79.71	0.009359008553624154
28	10	True	False	83.348	0.0076197388309240345
28	10	False	False	80.46	0.009224552816152573
29	10	True	False	83.496	0.0075844863265752795
29	10	False	False	79.72	0.00944685597717762
30	10	True	False	83.494	0.007612239353656769
30	10	False	False	78.42	0.009792989614605903
31	10	True	False	83.516	0.007550608469247818
31	10	False	False	80.49	0.008801172399520874
32	10	True	False	83.574	0.007491484850347042
32	10	False	False	78.43	0.010043303975462914
33	10	True	False	83.96	0.007430061813890934
33	10	False	False	77.18	0.010884805631637573
34	10	True	False	83.348	0.007562231447994709
34	10	False	False	81.12	0.008689769271016121
35	10	True	False	83.788	0.007415923363566399
35	10	False	False	79.33	0.010541540601849557
36	10	True	False	83.72	0.007472619037628174
36	10	False	False	79.84	0.009358824853599072
37	10	True	False	83.892	0.00734041855096817
37	10	False	False	79.2	0.00994801443517208
38	10	True	False	84.016	0.007295048759579659
38	10	False	False	74.67	0.012376823404431343
39	10	True	False	83.86	0.007418636982738972
39	10	False	False	80.16	0.009201343405246734
40	10	True	False	83.954	0.00734674047589302
40	10	False	False	81.01	0.009093761552870274
41	10	True	False	83.888	0.007399005347490311
41	10	False	False	80.19	0.00949149973988533
42	10	True	False	84.068	0.0072823594120144846
42	10	False	False	83.21	0.007990462732315063
43	10	True	False	84.264	0.007284359914064407
43	10	False	False	82.59	0.008101937547326087
44	10	True	False	84.008	0.007329635298550129
44	10	False	False	80.65	0.009659827947616577
45	10	True	False	84.084	0.007282549449503422
45	10	False	False	79.69	0.009493175375461578
46	10	True	False	84.094	0.007275953486561775
46	10	False	False	75.61	0.011619626027345658
47	10	True	False	84.372	0.007237529404759407
47	10	False	False	80.4	0.008962711834907532
48	10	True	False	84.088	0.007267858187556267
48	10	False	False	78.33	0.01033452855348587
49	10	True	False	83.85	0.007298529424965381
49	10	False	False	74.03	0.012544423612952233
50	10	True	False	84.284	0.007222459866404534
50	10	False	False	70.49	0.014868099105358124
51	10	True	False	84.224	0.007244965289533139
51	10	False	False	77.06	0.010990232387185097
52	10	True	False	84.202	0.007283269788920879
52	10	False	False	81.34	0.00862145310640335
53	10	True	False	84.31	0.007204461931288242
53	10	False	False	82.64	0.007919677594304085
54	10	True	False	84.144	0.007272041984200478
54	10	False	False	66.94	0.01780959231853485
55	10	True	False	84.492	0.007163731879889965
55	10	False	False	83.55	0.007619936957955361
56	10	True	False	84.23	0.007207391491234303
56	10	False	False	77.03	0.011481925109028816
57	10	True	False	84.59	0.0071063159093260764
57	10	False	False	81.34	0.008707527077198029
58	10	True	False	84.188	0.00727820272743702
58	10	False	False	82.17	0.008138171613216401
59	10	True	False	84.258	0.0071653986775875094
59	10	False	False	80.95	0.00879567865729332
60	10	True	False	84.38	0.007173061557710171
60	10	False	False	77.67	0.010084465032815933
61	10	True	False	84.408	0.007151901369094849
61	10	False	False	82.74	0.00829457153826952
62	10	True	False	84.254	0.007153309653699398
62	10	False	False	81.75	0.008543082770705222
63	10	True	False	84.456	0.007154313747435808
63	10	False	False	79.68	0.009137991181015968
64	10	True	False	84.56	0.007115069808065891
64	10	False	False	82.22	0.008532966715097427
65	10	True	False	84.486	0.007089261915683746
65	10	False	False	76.39	0.011465628811717034
66	10	True	False	84.54	0.007164024459421635
66	10	False	False	78.68	0.010375807008147239
67	10	True	False	84.398	0.007120339586436749
67	10	False	False	77.29	0.010807789206504822
68	10	True	False	84.514	0.00713280066549778
68	10	False	False	80.71	0.008897367417812347
69	10	True	False	84.588	0.007102197563052177
69	10	False	False	78.57	0.009732581359148026
70	10	True	False	84.48	0.007141555557847023
70	10	False	False	76.84	0.011013723051548005
71	10	True	False	84.474	0.007055738319456577
71	10	False	False	79.27	0.0096713712900877
72	10	True	False	84.304	0.007121910537183284
72	10	False	False	80.75	0.008757203298807144
73	10	True	False	84.58	0.007109002517163753
73	10	False	False	80.77	0.009055905082821846
74	10	True	False	84.654	0.00708460443943739
74	10	False	False	78.27	0.010491862997412681
75	10	True	False	84.814	0.007024892737269401
75	10	False	False	75.08	0.011317567193508148
76	10	True	False	84.742	0.007041711381673813
76	10	False	False	82.29	0.008457668103277683
77	10	True	False	84.46	0.00709700516730547
77	10	False	False	76.99	0.01102025483250618
78	10	True	False	84.556	0.007082031699419022
78	10	False	False	80.69	0.009348287661373616
79	10	True	False	84.56	0.007051562832891941
79	10	False	False	80.8	0.008920403289794921
80	10	True	False	84.514	0.007090181785225868
80	10	False	False	79.01	0.009497127583622932
81	10	True	False	84.53	0.007019421435594558
81	10	False	False	81.59	0.008370601332187652
82	10	True	False	84.506	0.00713273951202631
82	10	False	False	79.96	0.009535855832695962
83	10	True	False	84.848	0.007036359020471573
83	10	False	False	79.01	0.009917077413201332
84	10	True	False	84.39	0.00712274202466011
84	10	False	False	78.97	0.009758817863464355
85	10	True	False	84.722	0.006979182848036289
85	10	False	False	80.73	0.009186048817634582
86	10	True	False	84.51	0.007102974426448345
86	10	False	False	80.26	0.009053845331072808
87	10	True	False	84.576	0.007102374390661716
87	10	False	False	81.43	0.0087251740783453
88	10	True	False	84.568	0.0071248774841427805
88	10	False	False	83.29	0.0077087807133793835
89	10	True	False	84.766	0.007031001070737839
89	10	False	False	77.29	0.010631047873198986
90	10	True	False	84.41	0.0071047945222258565
90	10	False	False	78.26	0.010571908789873123
91	10	True	False	84.806	0.006972959913313389
91	10	False	False	81.45	0.008757991488277913
92	10	True	False	84.558	0.00709531822770834
92	10	False	False	77.19	0.010306524443626404
93	10	True	False	84.542	0.007082328021228313
93	10	False	False	78.3	0.01075800190269947
94	10	True	False	84.46	0.00707186428964138
94	10	False	False	80.06	0.009212648212909699
95	10	True	False	84.726	0.006966637398004532
95	10	False	False	81.36	0.008814459477365017
96	10	True	False	84.858	0.007015904479026795
96	10	False	False	80.41	0.009466090758144856
97	10	True	False	84.49	0.007077696471214295
97	10	False	False	80.38	0.009086445058882236
98	10	True	False	84.65	0.007003295308053494
98	10	False	False	78.59	0.01047272161245346
99	10	True	False	84.638	0.007096329209804535
99	10	False	False	76.96	0.010743323174118996
100	10	True	False	84.772	0.007006433318555355
100	10	False	False	78.84	0.01041045551598072
101	10	True	False	84.538	0.0070785388019680975
101	10	False	False	78.69	0.010108806170523166
102	10	True	False	84.856	0.0069673876097798345
102	10	False	False	78.86	0.009898954404890538
103	10	True	False	84.756	0.0070847084644436835
103	10	False	False	80.01	0.009123357433080672
104	10	True	False	84.488	0.007102314311861992
104	10	False	False	81.22	0.008687833127379417
105	10	True	False	84.704	0.007037023787796497
105	10	False	False	80.79	0.00927950561195612
106	10	True	False	84.56	0.007024472037255764
106	10	False	False	82.48	0.008162828569114208
107	10	True	False	84.546	0.007063914093971253
107	10	False	False	70.82	0.015939328414201738
108	10	True	False	84.888	0.007019610096216202
108	10	False	False	74.99	0.011673806643486023
109	10	True	False	84.572	0.007082311256825924
109	10	False	False	77.39	0.01063230085670948
