
epoch	seed	train	shuffle	accuracy	loss
1	10	True	False	14.57	0.035403047533035276
1	10	False	False	20.8	0.03397505853176117
2	10	True	False	22.838	0.033286494710445404
2	10	False	False	24.84	0.03226309945583344
3	10	True	False	26.434	0.03184058835744858
3	10	False	False	28.0	0.030907437396049498
4	10	True	False	28.854	0.030696086640357972
4	10	False	False	30.26	0.029828757810592653
5	10	True	False	30.606	0.02973360706806183
5	10	False	False	32.33	0.028926109433174134
6	10	True	False	32.084	0.028920680379867555
6	10	False	False	34.39	0.028109915339946747
7	10	True	False	33.66	0.02820310581922531
7	10	False	False	35.51	0.027413430380821228
8	10	True	False	34.994	0.02756126392841339
8	10	False	False	36.64	0.026791775929927826
9	10	True	False	36.314	0.027008007764816284
9	10	False	False	37.59	0.026257787585258485
10	10	True	False	37.236	0.026532770371437073
10	10	False	False	38.67	0.025789431941509247
11	10	True	False	38.334	0.026038289709091188
11	10	False	False	39.69	0.025361186707019805
12	10	True	False	39.246	0.02568427422761917
12	10	False	False	40.49	0.02497160564661026
13	10	True	False	40.03	0.02530182839870453
13	10	False	False	41.46	0.02461558756828308
14	10	True	False	40.966	0.024978712739944457
14	10	False	False	41.83	0.024273936104774477
15	10	True	False	41.528	0.024677816903591155
15	10	False	False	42.83	0.023939917290210725
16	10	True	False	42.052	0.024437505316734314
16	10	False	False	43.5	0.0236949751496315
17	10	True	False	42.638	0.024161031591892243
17	10	False	False	44.22	0.02342644588947296
18	10	True	False	43.696	0.02388905240058899
18	10	False	False	44.84	0.02316560539007187
19	10	True	False	44.032	0.02365704034805298
19	10	False	False	45.57	0.02294271240234375
20	10	True	False	44.768	0.023411590354442596
20	10	False	False	46.3	0.022660655295848847
21	10	True	False	45.394	0.02320295707464218
21	10	False	False	46.94	0.022457923221588134
22	10	True	False	46.112	0.022978783400058746
22	10	False	False	47.41	0.022222355914115907
23	10	True	False	46.354	0.02277001425266266
23	10	False	False	47.94	0.02203916312456131
24	10	True	False	47.012	0.02254855434656143
24	10	False	False	48.31	0.021804135274887084
25	10	True	False	47.774	0.02235037494659424
25	10	False	False	48.77	0.021626075315475463
26	10	True	False	48.182	0.022162193951606752
26	10	False	False	49.68	0.021374774396419525
27	10	True	False	48.698	0.0219406388092041
27	10	False	False	49.88	0.02120041561126709
28	10	True	False	49.186	0.021742115912437437
28	10	False	False	50.34	0.02099576015472412
29	10	True	False	49.702	0.02155647642612457
29	10	False	False	50.82	0.02081058453321457
30	10	True	False	50.16	0.02139044273853302
30	10	False	False	51.51	0.020612402188777922
31	10	True	False	50.718	0.021172838821411133
31	10	False	False	52.14	0.02038347020149231
32	10	True	False	51.308	0.02095963212966919
32	10	False	False	52.67	0.020231440842151643
33	10	True	False	51.786	0.020778870873451233
33	10	False	False	52.89	0.020097872257232665
